y1,y2,y,x1,x2,x,km2,id,z,zmin,zmax,zsd,zrange,block
52.796558741069,52.8081984263363,52.8023785837026,-129.319331645112,-129.307691959844,-129.313511802478,1.01683105703449,466,163.813293457031,4.99999998737621e-07,209.713302612305,59.8614447916136,209.713302112305,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.307691959844,-129.296052274577,-129.301872117211,1.01683105703449,467,223.286697387695,12.4876499176025,237.919998168945,44.0179128757422,225.432348251342,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.214574477706,-129.202934792439,-129.208754635073,1.01683105703449,475,44.9533309936523,0,79.5199966430664,21.5485750302958,79.5199966430664,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.202934792439,-129.191295107172,-129.197114949806,1.01683105703449,476,68.6833267211914,45.8133316040039,84.8300018310547,6.75762359329577,39.0166702270508,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.191295107172,-129.179655421905,-129.185475264538,1.01683105703449,477,77.2266693115234,69.2300033569336,95.6100006103516,6.12938290685507,26.379997253418,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.179655421905,-129.168015736637,-129.173835579271,1.01683105703449,478,97.620002746582,81.7600021362305,125.86669921875,11.1707715481474,44.1066970825195,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.168015736637,-129.15637605137,-129.162195894004,1.01683105703449,479,129.596694946289,102.986701965332,144.416702270508,9.72415674207283,41.430000305176,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.15637605137,-129.144736366103,-129.150556208737,1.01683105702972,480,141.190002441406,108.819999694824,147.610000610352,9.89307859777068,38.790000915528,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.144736366103,-129.133096680836,-129.138916523469,1.01683105703449,481,129.509994506836,89.2699966430664,146.043304443359,15.4174079642194,56.7733078002926,CAA
52.796558741069,52.8081984263363,52.8023785837026,-129.133096680836,-129.121456995568,-129.127276838202,1.01683105703449,482,90.129997253418,12.5356197357178,126.330001831055,15.7716338615183,113.794382095337,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.319331645112,-129.307691959844,-129.313511802478,1.0165615408392,573,199.086700439453,4.99999998737621e-07,222.880004882812,62.9659981653372,222.880004382812,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.307691959844,-129.296052274577,-129.301872117211,1.0165615408392,574,211.460006713867,12.4876499176025,228.110000610352,52.3687716275083,215.622350692749,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.237853848241,-129.226214162974,-129.232034005607,1.0165615408392,580,52.560001373291,1.0000000116861e-07,89.8600006103516,25.9164989006236,89.8600005103516,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.226214162974,-129.214574477706,-129.22039432034,1.0165615408392,581,71.8099975585938,1.0000000116861e-07,93.2600021362305,25.8683420293313,93.2600020362305,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.214574477706,-129.202934792439,-129.208754635073,1.0165615408392,582,80.0199966430664,14.6599998474121,93.6800003051758,11.1868314124054,79.0200004577637,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.202934792439,-129.191295107172,-129.197114949806,1.0165615408392,583,82.5100021362305,68.0633316040039,95.6999969482422,6.26158064515454,27.6366653442383,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.191295107172,-129.179655421905,-129.185475264538,1.0165615408392,584,88.870002746582,74.6100006103516,96.879997253418,5.5654340988835,22.2699966430664,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.179655421905,-129.168015736637,-129.173835579271,1.0165615408392,585,96.5199966430664,85.0599975585938,118.213302612305,6.14494114642867,33.1533050537112,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.168015736637,-129.15637605137,-129.162195894004,1.0165615408392,586,109.25,92.4066696166992,130.160003662109,8.53156803169334,37.7533340454098,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.15637605137,-129.144736366103,-129.150556208737,1.01656154083729,587,108.650001525879,90.6900024414062,131.513305664062,10.8269382842351,40.8233032226558,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.144736366103,-129.133096680836,-129.138916523469,1.0165615408392,588,96.620002746582,83.1333312988281,129.253295898438,9.99822787685647,46.1199645996099,CAA
52.8081984263363,52.8198381116035,52.8140182689699,-129.133096680836,-129.121456995568,-129.127276838202,1.0165615408392,589,87.25,4.39999985246686e-06,109.713302612305,18.6513586724156,109.713298212305,CAA
52.8198381116035,52.8314777968708,52.8256579542371,-129.389169756715,-129.377530071448,-129.383349914082,1.01629198096752,674,167.994903564453,13.3299999237061,197.437103271484,60.1165252637032,184.107103347778,CAA
52.8198381116035,52.8314777968708,52.8256579542371,-129.377530071448,-129.365890386181,-129.371710228814,1.01629198096752,675,20.7000007629395,0,163.961700439453,52.157694221346,163.961700439453,CAA
52.8198381116035,52.8314777968708,52.8256579542371,-129.307691959844,-129.296052274577,-129.301872117211,1.01629198096752,681,231.380004882812,13.7579298019409,238.473297119141,48.7146800120195,224.7153673172,CAA
52.8198381116035,52.8314777968708,52.8256579542371,-129.296052274577,-129.28441258931,-129.290232431944,1.01629198096752,682,226.026702880859,8.98258304595947,238.473297119141,58.1304917541059,229.490714073182,CAA
52.8198381116035,52.8314777968708,52.8256579542371,-129.261133218775,-129.249493533508,-129.255313376142,1.01629198096752,685,62.5133285522461,2.00000002337219e-07,162.576705932617,45.7163275016363,162.576705732617,CAA
